name,Overall Score,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Population (millions),GDP (billions),GDP per Capita,Unemployment Rate,Inflation Rate,FDI Inflow (millions),Tax Burden % GDP,Govt. Expenditure % GDP
,77.0,1.0,15.0,15.0,1.3,31.6,23942.0,6.7,0.5,472.3,19.8,27.1
,65.5,4.2,35.0,30.0,127.6,2616.3,20411.0,3.4,3.6,32921.2,16.1,25.9
,50.4,5.1,10.0,21.0,0.1,0.4,3550.0,16.2,1.8,20.2,25.2,64.0
,62.5,4.1,12.0,12.0,2.7,27.3,13574.0,5.5,4.8,588.6,17.7,31.1
,62.4,5.2,10.0,25.0,3.2,46.7,12820.0,6.0,7.3,2443.3,16.8,30.8
,63.4,5.3,9.0,9.0,0.6,12.6,22989.0,14.9,0.4,452.8,38.4,46.5
,63.3,9.7,38.0,31.0,36.5,327.3,7826.0,9.0,0.0,1599.1,27.6,30.0
,51.6,7.1,32.0,32.0,30.4,44.7,1334.0,3.2,2.8,2211.7,21.6,30.9
,62.6,6.9,37.0,32.0,2.5,26.8,10037.0,20.3,3.7,-17.4,29.3,37.7
,50.7,13.7,25.0,25.0,28.6,94.4,3558.0,1.4,4.6,185.0,20.7,29.9
,76.8,3.0,52.0,25.0,17.3,1005.3,59687.0,3.2,2.7,84215.6,38.8,41.7
,83.9,2.4,33.0,28.0,4.9,208.7,43953.0,4.1,1.6,5426.6,32.7,37.4
,56.3,5.8,30.0,30.0,6.5,34.9,5631.0,6.8,5.4,515.2,22.2,27.4
,57.3,12.0,35.0,30.0,23.3,34.7,1270.0,0.5,-2.5,592.8,13.0,20.7
,58.7,8.3,24.0,30.0,201.0,1215.4,5348.0,8.1,11.4,3299.1,5.7,12.5
,5.2,,,,25.7,40.0,1700.0,25.6,,25.8,,
,68.6,6.3,10.0,10.0,2.1,34.7,17815.0,17.8,0.8,365.2,17.7,31.1
,73.4,3.0,47.8,22.0,5.3,407.4,66832.0,3.4,2.2,4298.3,39.0,49.9
,64.6,5.7,0.0,15.0,5.0,204.8,29052.0,2.7,0.1,3124.6,2.6,45.0
,51.7,10.2,35.0,35.0,216.6,1201.6,4885.0,4.5,6.7,2218.0,13.0,21.6
,66.2,6.4,25.0,25.0,4.2,112.0,32762.0,3.9,-0.4,4835.2,15.1,22.2
,58.9,2.3,42.0,30.0,8.8,34.6,4569.0,2.5,3.8,334.0,13.6,20.0
,62.6,6.8,10.0,10.0,7.0,96.3,13210.0,4.8,2.8,478.1,13.5,21.1
,67.7,1.8,30.0,29.5,32.5,476.0,13380.0,3.3,2.1,8891.9,16.9,21.3
,64.1,5.4,35.0,30.0,108.1,1027.2,9277.0,2.2,2.5,4996.4,14.0,20.5
,69.7,3.0,32.0,19.0,38.0,1287.3,34218.0,3.5,2.3,13220.5,35.0,41.6
,67.5,3.0,48.0,21.0,10.3,346.9,36471.0,6.3,0.3,8234.4,35.4,43.9
,72.0,4.3,0.0,0.0,2.8,358.9,96491.0,0.1,-0.6,-2812.6,14.7,32.0
,50.7,11.8,30.0,30.0,5.4,31.2,3435.0,9.5,2.2,3366.1,12.5,23.1
,69.5,3.0,10.0,16.0,19.4,549.2,32297.0,4.0,3.8,5971.2,14.6,32.1
,61.5,5.5,13.0,20.0,144.4,4390.0,29181.0,4.6,4.5,31735.1,11.4,33.6
